"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"RINT-1"	-0.944980164706454	1.63872912559242e-09	9.31199187898081e-09
"GRPEL2"	-1.18241170229507	1.64065362189722e-09	9.32172196890416e-09
"ECM1"	-0.932264997695397	1.64203201173227e-09	9.32834712367908e-09
"AI216457"	-1.12217821769311	1.64867364490651e-09	9.36486706676852e-09
"CXXC6"	-1.31471331318259	1.65168415051644e-09	9.38075454639143e-09
"PADI2"	1.04840008633698	1.65225113222636e-09	9.3827616972384e-09
"FMR1"	1.0559411914309	1.65411297363003e-09	9.39212059513258e-09
"BMP4"	-1.11589080882864	1.65684602407368e-09	9.40632835291621e-09
"THC2398341"	1.71502240442787	1.65704343455006e-09	9.40632835291621e-09
"CLDN4"	-1.60165696855191	1.66067762177968e-09	9.42574012950946e-09
"EIF3S7"	-1.11574631668285	1.66573360628536e-09	9.45321574185791e-09
"LOC339344"	0.751685715880171	1.66764835677776e-09	9.4628597212095e-09
"AY030238"	-1.01440393883994	1.67219495738879e-09	9.48743338151192e-09
"RAB4B"	1.3039125196188	1.6738633054711e-09	9.49567263334854e-09
"EED"	-0.845846484028136	1.68298717556866e-09	9.54619878759288e-09
"RAB25"	-1.10140745495831	1.68643117833547e-09	9.56449885043322e-09
"UCHL5"	-0.841636299340502	1.6914238875491e-09	9.59157645590803e-09
"A_24_P316767"	-1.64019512112342	1.69312546868956e-09	9.59998644359851e-09
"NPIP"	1.36847144249305	1.69797060145298e-09	9.62510255776257e-09
"SPOP"	0.951971980664746	1.69799332641324e-09	9.62510255776257e-09
"AI878825"	0.995939336939998	1.70170468016255e-09	9.64489592365129e-09
"AF052152"	1.50183617374427	1.7040236339929e-09	9.65679337783053e-09
"PAPOLA"	-1.08291954895844	1.70883979918794e-09	9.68283776836391e-09
"FLNB"	-1.2050996805846	1.71933583359005e-09	9.74105526250252e-09
"PLCL2"	1.10322742270281	1.721408062216e-09	9.7515380504463e-09
"TRPM6"	1.23925565042264	1.72308091347922e-09	9.75975600954815e-09
"VPS35"	0.779698892011049	1.72444484923477e-09	9.76622233746715e-09
"MGC90512"	-0.855793326517447	1.72841206804267e-09	9.78742853327954e-09
"SEC15L2"	1.16233093574328	1.72883350635559e-09	9.78834064204616e-09
"THC2310236"	1.0481019880336	1.72901876538841e-09	9.78834064204616e-09
"LOC441515"	-1.46998297155987	1.72952140291453e-09	9.78992459108856e-09
"COQ2"	-0.908896703093475	1.73133596257536e-09	9.79825423188467e-09
"A_23_P59828"	-1.39780785986762	1.73143902033008e-09	9.79825423188467e-09
"APOL2"	1.13732494540029	1.7333535019145e-09	9.80782492176788e-09
"MYO5B"	-1.25401985122426	1.73468741487906e-09	9.81410854128167e-09
"GCS1"	-1.01728664564164	1.74825187781949e-09	9.88957677626680e-09
"PSMB1"	-1.09210408878382	1.75008562714006e-09	9.8986753812141e-09
"A_24_P50489"	-1.58932722412551	1.75081009446429e-09	9.90149823119343e-09
"BP290435"	-1.03300244145567	1.75277203905678e-09	9.9113178591586e-09
"TM7SF1"	1.19820771562302	1.75339672058622e-09	9.91357417401202e-09
