"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"GRIA3"	6.70371955553531	7.62366371238327e-15	1.12608809607731e-12
"RFX4"	5.72410000140312	7.8784074095456e-15	1.15988816454481e-12
"KLC1"	3.29135640143974	7.99643285036184e-15	1.16752333112103e-12
"RALYL"	7.73780426322832	8.0030426892672e-15	1.16752333112103e-12
"RBFOX1"	7.70671200293933	8.00852763102506e-15	1.16752333112103e-12
"PMP2"	7.47128861161696	8.09663065387808e-15	1.17653506995119e-12
"ROPN1"	-3.09434702981723	8.21329149602259e-15	1.18962483558572e-12
"SPARCL1"	11.1544021296086	8.33939361809141e-15	1.20399322829451e-12
"FBN2"	-4.34753641775519	8.39059946776205e-15	1.20749089961144e-12
"DHRS2"	-8.10869738676184	8.45467287664929e-15	1.21267268892606e-12
"MTUS2"	4.18574846763352	8.4807970246192e-15	1.21267268892606e-12
"CHRM1"	5.39648214863823	8.56056245798631e-15	1.22018004257846e-12
"KBTBD11"	5.25581219118455	8.59275147853102e-15	1.22087995293058e-12
"ATP2B2"	8.67495083096304	8.80853147623709e-15	1.2475779580711e-12
"PENK"	5.76660783318527	8.88346266549037e-15	1.2542216247845e-12
"PPFIA2"	5.24735614945471	8.96690800689662e-15	1.2620218074109e-12
"RTN1"	10.3508350246413	9.14850805700467e-15	1.28144490102699e-12
"NCBP1"	-2.43073019571936	9.16217643061574e-15	1.28144490102699e-12
"LSAMP"	4.36618423847208	9.3690740154246e-15	1.30629992720979e-12
"SULT4A1"	6.6363037606803	9.44720914117037e-15	1.31310339230503e-12
"VSNL1"	6.7926979516935	9.54301778576803e-15	1.32231363473633e-12
"PLP1"	5.54152238280187	9.68217263904385e-15	1.33745468713903e-12
"ZIC1"	5.69199201444553	1.01944357726593e-14	1.40388359212658e-12
"E2F7"	-5.84116765570224	1.02365165311562e-14	1.40535439836941e-12
"CACNA1A"	6.24957327180256	1.03621951461212e-14	1.41825812220123e-12
"ADGRB3"	7.75015162833028	1.04179204071233e-14	1.42153794433296e-12
